symbol;name;address_street;address_district_id;created_by;created_date;last_modified_by;last_modified_date
DND;Đại học Đà Nẵng;Multi-layered;86775;Virginia;2023-05-02 14:38:01;Michigan;2023-05-03 08:00:38
DDK;Trường Đại học Bách khoa;silver;53491;Metal;2023-05-02 12:36:14;bluetooth primary Bedfordshire;2023-05-03 08:54:13
DDQ;Trường Đại học Kinh tế;Savings magenta Saint;54110;Dynamic drive Mississippi;2023-05-02 15:02:03;Practical upward-trending;2023-05-02 12:13:22
DDS;Trường Đại học Sư phạm;Afghani programming alarm;82648;HTTP;2023-05-02 23:55:47;cultivate;2023-05-03 07:47:18
DDF;Trường Đại học Ngoại ngữ;Shoal Refined Fiji;66091;bypass dynamic;2023-05-02 23:09:46;Pizza;2023-05-03 07:55:16
DSK;Trường Đại học Sư phạm Kỹ thuật;Outdoors Montana blue;18403;Qatari Beauty;2023-05-02 14:39:57;Track mission-critical;2023-05-03 08:36:16
VKU;Trường Đại học CNTT và Truyền thông Việt-Hàn;Kids neural overriding;842;clear-thinking;2023-05-02 22:05:30;Computers;2023-05-02 14:32:12
DDP;Phân hiệu ĐHĐN tại Kon Tum;Island;24113;innovate grey calculate;2023-05-02 19:59:31;Hampshire holistic;2023-05-03 03:22:25
DDV;Viện nghiên cứu và Đào tạo Việt-Anh;New Fresh;29317;Morocco Chair;2023-05-03 02:33:28;static;2023-05-03 09:11:07
DDY;Khoa Y Dược;Frozen Markets;5095;azure tan;2023-05-02 20:43:35;Card mobile;2023-05-02 16:52:49
