indigenous_id;indigenous_name;created_by;created_date;last_modified_by;last_modified_date
1;Kinh (Việt);Account Pants PNG;2023-05-02 15:10:06;Loan;2023-05-03 10:16:37
2;Tày;revolutionary Chicken;2023-05-03 07:25:08;base plug-and-play;2023-05-03 09:12:51
3;Thái;payment fuchsia;2023-05-02 17:28:10;maroon;2023-05-02 23:32:22
4;Mường ;Self-enabling whiteboard;2023-05-03 01:40:35;Garden;2023-05-03 10:44:38
5;Khmer;New Account Savings;2023-05-02 13:10:11;transmitting Greenland;2023-05-02 15:02:05
6;Hoa ;Internal;2023-05-03 10:43:31;Fantastic Corner;2023-05-03 06:25:21
7;Nùng  ;hacking;2023-05-03 06:48:18;disintermediate Granite Global;2023-05-03 02:12:13
8;Mông;deposit Architect;2023-05-03 09:51:29;Handcrafted hack;2023-05-03 07:33:07
9;Dao;engineer;2023-05-02 21:03:53;connecting sky;2023-05-02 17:05:34
10;Gia Rai;pixel PCI Nakfa;2023-05-03 03:34:26;Account Cambridgeshire;2023-05-03 01:49:50
11;Ê  Đê;pixel PCI Nakfa;2023-05-03 03:34:27;Account Cambridgeshire;2023-05-03 01:49:51
12;Ba Na;pixel PCI Nakfa;2023-05-03 03:34:28;Account Cambridgeshire;2023-05-03 01:49:52
13;Sán Chay ;pixel PCI Nakfa;2023-05-03 03:34:29;Account Cambridgeshire;2023-05-03 01:49:53
14;Chăm ;pixel PCI Nakfa;2023-05-03 03:34:30;Account Cambridgeshire;2023-05-03 01:49:54
15;Cơ Ho;pixel PCI Nakfa;2023-05-03 03:34:31;Account Cambridgeshire;2023-05-03 01:49:55
16;Xơ Đăng;pixel PCI Nakfa;2023-05-03 03:34:32;Account Cambridgeshire;2023-05-03 01:49:56
17;Sán Dìu;pixel PCI Nakfa;2023-05-03 03:34:33;Account Cambridgeshire;2023-05-03 01:49:57
18;Hrê;pixel PCI Nakfa;2023-05-03 03:34:34;Account Cambridgeshire;2023-05-03 01:49:58
19;RaGlay;pixel PCI Nakfa;2023-05-03 03:34:35;Account Cambridgeshire;2023-05-03 01:49:59
20;Mnông;pixel PCI Nakfa;2023-05-03 03:34:36;Account Cambridgeshire;2023-05-03 01:49:60
21;Thổ (4);pixel PCI Nakfa;2023-05-03 03:34:37;Account Cambridgeshire;2023-05-03 01:49:61
22;Xtiêng;pixel PCI Nakfa;2023-05-03 03:34:38;Account Cambridgeshire;2023-05-03 01:49:62
23;Khơ mú;pixel PCI Nakfa;2023-05-03 03:34:39;Account Cambridgeshire;2023-05-03 01:49:63
24;Bru Vân Kiều;pixel PCI Nakfa;2023-05-03 03:34:40;Account Cambridgeshire;2023-05-03 01:49:64
25;Cơ Tu;pixel PCI Nakfa;2023-05-03 03:34:41;Account Cambridgeshire;2023-05-03 01:49:65
26;Giáy;pixel PCI Nakfa;2023-05-03 03:34:42;Account Cambridgeshire;2023-05-03 01:49:66
27;Tà Ôi;pixel PCI Nakfa;2023-05-03 03:34:43;Account Cambridgeshire;2023-05-03 01:49:67
28;Mạ;pixel PCI Nakfa;2023-05-03 03:34:44;Account Cambridgeshire;2023-05-03 01:49:68
29;Giẻ-Triêng;pixel PCI Nakfa;2023-05-03 03:34:45;Account Cambridgeshire;2023-05-03 01:49:69
30;Co;pixel PCI Nakfa;2023-05-03 03:34:46;Account Cambridgeshire;2023-05-03 01:49:70
31;Chơ Ro;pixel PCI Nakfa;2023-05-03 03:34:47;Account Cambridgeshire;2023-05-03 01:49:71
32;Xinh Mun;pixel PCI Nakfa;2023-05-03 03:34:48;Account Cambridgeshire;2023-05-03 01:49:72
33;Hà Nhì;pixel PCI Nakfa;2023-05-03 03:34:49;Account Cambridgeshire;2023-05-03 01:49:73
34;Chu Ru;pixel PCI Nakfa;2023-05-03 03:34:50;Account Cambridgeshire;2023-05-03 01:49:74
35;Lào;pixel PCI Nakfa;2023-05-03 03:34:51;Account Cambridgeshire;2023-05-03 01:49:75
36;La Chí;pixel PCI Nakfa;2023-05-03 03:34:52;Account Cambridgeshire;2023-05-03 01:49:76
37;Kháng;pixel PCI Nakfa;2023-05-03 03:34:53;Account Cambridgeshire;2023-05-03 01:49:77
38;Phù Lá;pixel PCI Nakfa;2023-05-03 03:34:54;Account Cambridgeshire;2023-05-03 01:49:78
39;La Hủ;pixel PCI Nakfa;2023-05-03 03:34:55;Account Cambridgeshire;2023-05-03 01:49:79
40;La Ha;pixel PCI Nakfa;2023-05-03 03:34:56;Account Cambridgeshire;2023-05-03 01:49:80
41;Pà Thẻn;pixel PCI Nakfa;2023-05-03 03:34:57;Account Cambridgeshire;2023-05-03 01:49:81
42;Lự;pixel PCI Nakfa;2023-05-03 03:34:58;Account Cambridgeshire;2023-05-03 01:49:82
43;Ngái;pixel PCI Nakfa;2023-05-03 03:34:59;Account Cambridgeshire;2023-05-03 01:49:83
44;Chứt;pixel PCI Nakfa;2023-05-03 03:34:60;Account Cambridgeshire;2023-05-03 01:49:84
45;Lô Lô;pixel PCI Nakfa;2023-05-03 03:34:61;Account Cambridgeshire;2023-05-03 01:49:85
46;Mảng;pixel PCI Nakfa;2023-05-03 03:34:62;Account Cambridgeshire;2023-05-03 01:49:86
47;Cơ Lao;pixel PCI Nakfa;2023-05-03 03:34:63;Account Cambridgeshire;2023-05-03 01:49:87
48;Bố Y;pixel PCI Nakfa;2023-05-03 03:34:64;Account Cambridgeshire;2023-05-03 01:49:88
49;Cống;pixel PCI Nakfa;2023-05-03 03:34:65;Account Cambridgeshire;2023-05-03 01:49:89
50;Si La;pixel PCI Nakfa;2023-05-03 03:34:66;Account Cambridgeshire;2023-05-03 01:49:90
51;Pu Péo;pixel PCI Nakfa;2023-05-03 03:34:67;Account Cambridgeshire;2023-05-03 01:49:91
52;Rơ Măm;pixel PCI Nakfa;2023-05-03 03:34:68;Account Cambridgeshire;2023-05-03 01:49:92
53;Brâu;pixel PCI Nakfa;2023-05-03 03:34:69;Account Cambridgeshire;2023-05-03 01:49:93
54;Ơ Đu;pixel PCI Nakfa;2023-05-03 03:34:70;Account Cambridgeshire;2023-05-03 01:49:94
