id;name;created_by;created_date;last_modified_by;last_modified_date
714;Khoa học giáo dục và đào tạo giáo viên;Incredible;2023-05-02 15:02:05;copying District Functionality;2023-05-02 15:02:05
71401;Khoa học giáo dục;Riel back-end;2023-05-02 15:02:05;Group initiatives;2023-05-02 15:02:05
7140101;Giáo dục học;driver Steel Integration;2023-05-02 15:02:05;Planner Principal;2023-05-02 15:02:05
7140114;Quản lý giáo dục;Guatemala Tuna neural;2023-05-02 15:02:05;protocol gold;2023-05-02 15:02:05
71402;Đào tạo giáo viên;Paradigm dynamic &;2023-05-02 15:02:05;Pizza Incredible;2023-05-02 15:02:05
7140201;Giáo dục Mầm non;17(E.U.A.-17) Tuna Berkshire;2023-05-02 15:02:05;HDD Consultant;2023-05-02 15:02:05
7140202;Giáo dục Tiểu học;Sleek Optimization Designer;2023-05-02 15:02:05;Ferry Utah Quality;2023-05-02 15:02:05
7140203;Giáo dục Đặc biệt;Card;2023-05-02 15:02:05;Hawaii Somalia;2023-05-02 15:02:05
7140204;Giáo dục Công dân;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140205;Giáo dục Chính trị;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140206;Giáo dục Thể chất;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140207;Huấn luyện thể thao;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140208;Giáo dục Quốc phòng - An ninh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140209;Sư phạm Toán học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140210;Sư phạm Tin học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140211;Sư phạm Vật lý;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140212;Sư phạm Hoá học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140213;Sư phạm Sinh học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140214;Sư phạm Kỹ thuật công nghiệp;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140215;Sư phạm Kỹ thuật nông nghiệp;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140217;Sư phạm Ngữ văn;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
