nationality_id;nationality_name;created_by;created_date;last_modified_by;last_modified_date
1;Afghanistan;programming Licensed;2023-05-02 22:14:35;parsing;2023-05-02 22:14:35
2;Åland Islands;green Shoals;2023-05-02 22:14:35;repurpose Guyana;2023-05-02 22:14:35
3;Albania;analyzing redefine e-services;2023-05-02 22:14:35;SMTP;2023-05-02 22:14:35
4;Algérie (An-giê-ri);Saint;2023-05-02 22:14:35;Concrete Computers Maine;2023-05-02 22:14:35
5;American Samoa;Extension;2023-05-02 22:14:35;task-force;2023-05-02 22:14:35
6;Andorra (An-đô-ra);Expressway calculate;2023-05-02 22:14:35;leverage Gourde virtual;2023-05-02 22:14:35
7;Angola (Ăng-gô-la);enterprise Product Toys;2023-05-02 22:14:35;Central payment Bouvet;2023-05-02 22:14:35
8;Anguilla;enterprise Tennessee payment;2023-05-02 22:14:35;Dynamic;2023-05-02 22:14:35
9;Antarctica;SQL;2023-05-02 22:14:35;Gourde multi-byte;2023-05-02 22:14:35
10;Antigua và Barbuda (An-ti-goa và Bác-bu-da);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
11;Argentina;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
12;Armenia (Ác-mê-ni-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
13;Aruba;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
14;Úc (Ốt-xrây-li-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
15;Áo;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
16;Azerbaijan (A-giéc-bai-gian);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
17;Bahamas (Ba-ha-mát);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
18;Bahrain (Ba-ranh);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
19;Bangladesh (Băng-la-đét);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
20;Barbados (Bác-ba-đốt);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
21;Belarus (Bê-la-rút);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
22;Bỉ;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
23;Belize (Bê-li-xê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
24;Benin (Bê-nanh);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
25;Bermuda;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
26;Bhutan (Bu-tan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
27;Bolivia (Bô-li-vi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
28;Bosna và Hercegovina (Bốt-xni-a và Héc-dê-gô-vi-na);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
29;Botswana;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
30;Bouvet Island;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
31;Brasil (Bra-xin);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
32;British Indian Ocean Territory;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
33;Brunei (Bru-nây);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
34;Bulgaria (Bungari);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
