id;amount_old_stock;amount_issued_new_print;amount_broken;amount_issued_student;amount_unused;serial_number_begin;serial_number_end;bachoc;loai_phoi;ngay_mua;ngay_nhap_kho;note;created_by;created_date;last_modified_by;last_modified_date
1;38274;58818;60181;62410;50560;Shoes XML panel;Soft;CAODANG;BANSAO;2023-05-03;2023-05-03;Euro indexing deposit;Nicaragua Unbranded Granite;2023-05-02 13:56:03;feed Hat hacking;2023-05-02 13:48:12
2;42683;96760;57635;46967;85418;Program concept initiative;Granite;CAODANG;ANCHINH;2023-05-02;2023-05-03;USB programming AI;Benin;2023-05-03 09:41:25;index;2023-05-02 14:13:44
3;94773;16785;87376;5910;48359;hack;mobile Hampshire Spur;DAIHOC;ANCHINH;2023-05-03;2023-05-02;Ford feed;Group;2023-05-03 07:15:59;Steel synthesize Berkshire;2023-05-02 19:54:58
4;85881;40228;34180;20969;99863;Path;AGP Movies bypass;CAODANG;ANCHINH;2023-05-02;2023-05-02;Wooden;protocol Bedfordshire navigating;2023-05-03 00:03:12;24/365 benchmark Wooden;2023-05-03 06:37:52
5;4113;55159;54438;25872;45292;Chips invoice Right-sized;Beauty;CAODANG;BANSAO;2023-05-03;2023-05-03;Salad;next-generation copying Garden;2023-05-02 19:38:35;web SMS primary;2023-05-02 21:13:00
6;18939;43863;99438;43982;77873;card users bluetooth;Creative partnerships Rubber;DAIHOC;BANSAO;2023-05-02;2023-05-02;Fresh Legacy magenta;Michigan Incredible;2023-05-03 08:54:30;human-resource Qatari Keyboard;2023-05-02 20:51:21
7;27224;43273;86401;44078;78567;definition Coordinator;Buckinghamshire Account Shoes;DAIHOC;ANCHINH;2023-05-03;2023-05-02;array;methodologies e-business Soap;2023-05-03 08:38:52;Towels;2023-05-02 23:59:24
8;77320;88024;56783;5429;41786;New;Integration Web;DAIHOC;BANSAO;2023-05-02;2023-05-03;Architect connecting Licensed;application Borders expedite;2023-05-03 08:53:29;Chicken;2023-05-03 07:30:02
9;2267;38359;84830;61514;45781;Avon Stravenue;blockchains Pants;DAIHOC;ANCHINH;2023-05-03;2023-05-03;Sleek;Clothing Optimization transmit;2023-05-03 03:35:13;integrate quantifying;2023-05-02 14:17:25
10;31517;60655;23914;81726;97408;Computer;Australia Ohio area;CAODANG;ANCHINH;2023-05-03;2023-05-02;Indiana Cambridgeshire Gorgeous;transmitting Avon;2023-05-03 03:22:32;Legacy;2023-05-02 22:24:08
